City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
195,Pointe Michel,DM,15.25,-61.3833,77.29,71,70,10.83,broken clouds
196,Hami,CN,42.8,93.45,62.8,19,98,10.6,overcast clouds
197,Laguna,US,38.421,-121.4238,69.06,42,40,8.05,scattered clouds
198,Tatarskaya Pishlya,RU,54.0608,44.8998,39.27,69,11,6.13,few clouds
199,Cassilandia,BR,-19.1133,-51.7342,73.33,56,67,5.08,broken clouds
200,Isangel,VU,-19.55,169.2667,79.95,64,85,10.98,overcast clouds
201,Mirnyy,RU,62.5353,113.9611,13.57,97,87,3.33,overcast clouds
202,Sikasso,ML,10.9167,-7.0,93.94,24,98,1.59,overcast clouds
203,Lorengau,PG,-2.0226,147.2712,83.77,73,80,5.44,broken clouds
204,Gizo,SB,-8.103,156.8419,81.21,79,100,11.59,overcast clouds
205,Ilulissat,GL,69.2167,-51.1,23.02,86,100,2.3,light shower snow
206,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.44,85,0,11.63,clear sky
207,Prince George,CA,53.9166,-122.753,56.25,41,75,3.44,broken clouds
208,Magadi,IN,12.9667,77.2333,74.43,70,79,6.8,broken clouds
209,General Roca,AR,-39.0333,-67.5833,64.62,48,49,19.55,scattered clouds
210,Qandala,SO,11.472,49.8728,83.75,70,11,4.38,few clouds
211,Jega,NG,12.2175,4.3792,96.85,23,64,5.88,broken clouds
212,College,US,64.8569,-147.8028,50.32,37,75,3.44,broken clouds
213,La Rioja,ES,42.25,-2.5,44.38,92,100,4.68,overcast clouds
214,Gat,IL,31.61,34.7642,72.39,100,98,0.94,overcast clouds
215,Riyadh,SA,24.6877,46.7219,75.34,14,77,4.38,broken clouds
216,Avera,US,33.194,-82.5271,81.55,50,8,4.83,clear sky
217,Thunder Bay,CA,48.4001,-89.3168,36.28,78,100,1.01,overcast clouds
218,Ulaanbaatar,MN,47.9077,106.8832,28.53,80,40,2.24,scattered clouds
219,Mezen,RU,65.8522,44.24,32.74,99,100,7.16,light snow
220,Qingquan,CN,30.4511,115.2559,67.12,94,100,2.35,overcast clouds
221,Turayf,SA,31.6725,38.6637,70.05,23,0,13.8,clear sky
222,Ketchikan,US,55.3422,-131.6461,52.27,62,75,16.11,broken clouds
223,Huarmey,PE,-10.0681,-78.1522,69.76,82,51,9.95,broken clouds
224,Troitskoye,RU,52.9821,84.6757,30.54,51,100,4.94,overcast clouds
225,Guerrero Negro,MX,27.9769,-114.0611,67.33,59,32,25.79,scattered clouds
226,Kemi,FI,65.8596,24.8228,35.37,75,0,2.3,clear sky
227,Castro,BR,-24.7911,-50.0119,60.46,93,8,4.45,clear sky
228,Goderich,CA,43.7501,-81.7165,42.91,76,100,9.84,overcast clouds
229,San Andres,CO,12.5847,-81.7006,86.02,66,40,8.05,scattered clouds
230,Doha,QA,25.2867,51.5333,80.58,50,0,10.36,clear sky
231,Gao,ML,16.6362,1.637,88.43,11,100,11.16,overcast clouds
232,Isla Mujeres,MX,21.2311,-86.731,82.45,65,3,11.81,clear sky
233,Kokoda,PG,-8.8785,147.7407,77.41,91,97,0.72,overcast clouds
234,Jibuti,DJ,11.5,42.5,74.19,82,35,12.8,scattered clouds
235,Nabinagar,BD,23.8917,90.9733,75.61,95,1,4.59,clear sky
236,Dikson,RU,73.5069,80.5464,-8.45,100,100,6.13,overcast clouds
237,Praya,CV,14.9215,-23.5087,72.14,64,20,19.57,few clouds
238,Aitape,PG,-3.1374,142.3475,78.89,84,93,4.56,overcast clouds
239,Gobabis,NA,-22.45,18.9667,61.14,46,1,11.07,clear sky
240,East London,ZA,-33.0153,27.9116,64.38,90,99,11.5,moderate rain
241,Ayorou,NE,14.7308,0.9174,92.37,10,100,9.33,overcast clouds
242,Rocha,UY,-34.4833,-54.3333,55.35,92,100,8.1,overcast clouds
243,Ornskoldsvik,SE,63.2909,18.7153,38.35,81,100,3.44,overcast clouds
244,Awbari,LY,26.5921,12.7805,75.79,16,0,10.22,clear sky
245,Petropavl,KZ,54.8753,69.1628,30.74,91,98,6.87,overcast clouds
246,Saint-Georges,GD,12.0564,-61.7485,80.28,74,20,17.27,few clouds
247,Saint-Joseph,RE,-21.3667,55.6167,75.58,81,63,17.49,light rain
248,Pemangkat,ID,1.1667,108.9667,77.97,86,28,3.53,scattered clouds
249,Marsaxlokk,MT,35.8419,14.5431,60.08,82,0,5.75,clear sky
250,Vostok,RU,46.4856,135.8833,32.43,96,100,4.47,overcast clouds
251,Tijuana,MX,32.5333,-117.0167,67.28,57,75,19.57,broken clouds
252,Meulaboh,ID,4.1363,96.1285,77.32,91,76,3.04,broken clouds
253,Nuuk,GL,64.1835,-51.7216,34.41,86,75,5.75,broken clouds
254,Port Moresby,PG,-9.4431,147.1797,78.22,83,40,5.75,scattered clouds
255,Colorado Springs,US,38.8339,-104.8214,82.08,12,0,35.68,squalls
256,Buta,CD,2.7858,24.73,70.79,94,20,2.57,few clouds
257,Mehamn,NO,71.0357,27.8492,35.55,80,75,11.5,broken clouds
258,Christchurch,NZ,-43.5333,172.6333,58.41,70,64,3.44,broken clouds
259,Moron,AR,-34.6534,-58.6198,58.75,81,35,6.64,scattered clouds
260,Iracoubo,GF,5.4802,-53.2011,75.27,91,100,5.3,overcast clouds
261,Sheffield,GB,53.383,-1.4659,47.01,85,32,5.01,scattered clouds
262,Sao Goncalo,BR,-22.8156,-43.0411,76.82,83,0,9.22,clear sky
263,Jumla,NP,29.2747,82.1838,46.63,79,8,4.09,clear sky
264,Viedma,AR,-40.8135,-62.9967,51.04,60,27,3.87,scattered clouds
265,Nurobod,UZ,40.9056,69.8023,62.65,49,9,6.71,clear sky
266,Sandy Bay,AU,-42.913,147.3532,48.09,84,20,10.36,few clouds
267,Iqaluit,CA,63.7506,-68.5145,13.69,66,100,8.99,overcast clouds
268,Nyurba,RU,63.2842,118.3319,14.07,96,77,3.0,broken clouds
269,Kralendijk,BQ,12.15,-68.2667,80.58,74,20,13.8,few clouds
270,Le Pradet,FR,43.1066,6.0172,58.69,90,100,8.05,overcast clouds
271,Kita,ML,13.0349,-9.4895,90.5,12,100,3.89,overcast clouds
272,Margate,GB,51.3813,1.3862,50.88,88,100,5.01,overcast clouds
273,Ponta Do Sol,PT,32.6667,-17.1,63.23,67,90,13.8,overcast clouds
274,Olutanga,PH,7.3106,122.8464,81.93,74,92,3.29,overcast clouds
275,Waverly,US,42.7392,-84.6208,49.55,84,100,8.05,moderate rain
276,Bandarbeyla,SO,9.4942,50.8122,81.95,78,29,7.11,scattered clouds
277,Pangody,RU,65.85,74.4859,-1.35,99,91,8.66,overcast clouds
278,Bengkulu,ID,-3.8004,102.2655,76.84,88,100,6.71,overcast clouds
279,Mawlaik,MM,23.6333,94.4167,74.8,60,0,0.85,clear sky
280,Murgab,TM,37.4966,61.9714,71.47,46,100,4.61,overcast clouds
281,Katobu,ID,-4.9408,122.5276,74.91,92,82,1.59,broken clouds
282,Kirakira,SB,-10.4544,161.9205,83.16,77,83,6.04,broken clouds
283,Khandbari,NP,27.3747,87.2039,66.38,75,25,2.64,scattered clouds
284,Leon Valley,US,29.4952,-98.6186,89.38,46,40,23.02,scattered clouds
285,Ionia,US,42.9873,-85.0711,48.54,96,100,11.5,moderate rain
286,Fort Nelson,CA,58.8053,-122.7002,49.59,32,75,4.61,broken clouds
287,Sitka,US,57.0531,-135.33,51.69,46,100,17.27,overcast clouds
288,Bourg-En-Bresse,FR,46.1667,5.1667,60.62,69,66,4.47,broken clouds
289,Arys,KZ,42.4252,68.795,64.83,52,51,7.49,broken clouds
290,Masumbwe,TZ,-3.6333,32.1833,65.28,96,100,1.41,light rain
291,Yeppoon,AU,-23.1333,150.7333,69.58,72,76,21.14,broken clouds
292,Ulaangom,MN,49.9811,92.0667,34.97,67,1,3.4,clear sky
293,Valdivia,CL,-39.8142,-73.2459,55.49,94,100,7.92,overcast clouds
294,Tosham,IN,28.8833,75.9167,81.64,20,0,6.38,clear sky
295,Leningradskiy,RU,69.3833,178.4167,19.11,89,35,3.85,scattered clouds
296,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,79,75,5.01,broken clouds
297,Port Hawkesbury,CA,45.6169,-61.3485,47.89,91,100,5.75,overcast clouds
298,Oussouye,SN,12.485,-16.5469,78.98,65,42,6.42,scattered clouds
299,Horta,PT,38.5333,-28.6333,57.54,66,89,13.11,overcast clouds
300,Yatou,CN,37.15,122.3833,49.51,49,54,3.33,broken clouds
