City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Henties Bay,NA,2022-04-19 22:56:06,-22.116,14.2845,69.24,65,41,3.51
67,Kodiak,US,2022-04-19 22:56:28,57.79,-152.4072,38.71,81,100,13.8
68,Gat,IL,2022-04-19 22:56:28,31.61,34.7642,61.48,100,0,3.98
69,Alofi,NU,2022-04-19 22:52:21,-19.0595,-169.9187,80.49,83,75,8.05
70,Honiara,SB,2022-04-19 22:56:29,-9.4333,159.95,84.45,70,63,5.06
71,Norman Wells,CA,2022-04-19 22:56:29,65.282,-126.8329,33.84,32,0,10.36
72,Boa Vista,BR,2022-04-19 22:56:03,2.8197,-60.6733,91.38,49,75,8.05
73,Trofors,NO,2022-04-19 22:56:30,65.5333,13.4063,40.48,97,99,3.89
74,Natal,BR,2022-04-19 22:53:31,-5.795,-35.2094,82.62,78,20,9.22
75,Netivot,IL,2022-04-19 22:56:30,31.4222,34.5886,52.61,81,0,5.86
76,Sao Miguel Do Guama,BR,2022-04-19 22:56:30,-1.6267,-47.4833,75.42,96,100,3.83
77,Tura,IN,2022-04-19 22:56:31,25.5198,90.2201,66.87,92,95,2.28
78,Chapais,CA,2022-04-19 22:56:31,49.7834,-74.8492,31.78,95,100,9.89
79,Ahtopol,BG,2022-04-19 22:56:32,42.1,27.95,39.79,87,7,7.0
80,Abrau-Dyurso,RU,2022-04-19 22:56:32,44.69,37.59,47.66,97,100,4.72
81,Astana,KZ,2022-04-19 22:56:32,51.1801,71.446,40.95,81,19,8.95
82,Assiniboia,CA,2022-04-19 22:56:33,49.6334,-105.9845,39.02,56,100,11.5
83,Porto Velho,BR,2022-04-19 22:55:48,-8.7619,-63.9039,78.85,89,40,3.44
84,Mar Del Plata,AR,2022-04-19 22:52:08,-38.0023,-57.5575,64.87,93,0,14.0
85,Nabire,ID,2022-04-19 22:56:33,-3.3667,135.4833,80.69,79,98,1.95
86,Cayenne,GF,2022-04-19 22:56:33,4.9333,-52.3333,76.08,1,75,2.3
87,Saskylakh,RU,2022-04-19 22:56:34,71.9167,114.0833,0.1,97,88,4.56
88,Aloja,LV,2022-04-19 22:56:17,57.7669,24.8825,40.26,85,0,7.87
89,Knysna,ZA,2022-04-19 22:56:34,-34.0363,23.0471,65.1,57,1,4.99
90,Hithadhoo,MV,2022-04-19 22:56:34,-0.6,73.0833,82.94,70,90,4.97
91,Cockburn Town,TC,2022-04-19 22:57:35,21.4612,-71.1419,73.36,88,75,9.22
92,Puerto Ayora,EC,2022-04-19 22:57:35,-0.7393,-90.3518,78.76,85,80,8.14
